Tanggal,Kecamatan,Puskesmas,Jumlah_Bayi_6_Bulan,Jumlah_ASI_Eksklusif,Persentase_Cakupan
2021-01-31,Koto Tangah,AIR DINGIN,0.6492537313432836,0.6475409836065573,84.62
2021-02-28,Koto Tangah,AIR DINGIN,0.3955223880597015,0.27868852459016397,65.06
2021-03-31,Koto Tangah,AIR DINGIN,0.4253731343283582,0.30327868852459017,65.52
2021-04-30,Koto Tangah,AIR DINGIN,0.27611940298507465,0.1639344262295082,59.7
2021-05-31,Koto Tangah,AIR DINGIN,0.16417910447761194,0.0901639344262295,59.62
2021-06-30,Koto Tangah,AIR DINGIN,0.037313432835820864,0.06557377049180327,80.0
2021-07-31,Koto Tangah,AIR DINGIN,0.32089552238805974,0.27049180327868855,72.6
2021-08-31,Koto Tangah,AIR DINGIN,0.5074626865671642,0.4754098360655738,79.59
2021-09-30,Koto Tangah,AIR DINGIN,0.6716417910447762,0.4262295081967213,60.0
2021-10-31,Koto Tangah,AIR DINGIN,0.1865671641791045,0.09836065573770492,58.18
2021-11-30,Koto Tangah,AIR DINGIN,0.1791044776119403,0.13114754098360654,66.67
2021-12-31,Koto Tangah,AIR DINGIN,0.664179104477612,0.4672131147540984,64.71
2022-01-31,Koto Tangah,AIR DINGIN,0.664179104477612,0.49180327868852464,67.23
2022-02-28,Koto Tangah,AIR DINGIN,0.3805970149253731,0.20491803278688525,55.56
2022-03-31,Koto Tangah,AIR DINGIN,0.3880597014925373,0.36065573770491804,78.05
2022-04-30,Koto Tangah,AIR DINGIN,0.26119402985074625,0.13934426229508196,56.92
2022-05-31,Koto Tangah,AIR DINGIN,0.19402985074626863,0.21311475409836067,82.14
2022-06-30,Koto Tangah,AIR DINGIN,0.664179104477612,0.5573770491803278,73.95
2022-07-31,Koto Tangah,AIR DINGIN,0.1417910447761194,0.0819672131147541,61.22
2022-08-31,Koto Tangah,AIR DINGIN,0.5149253731343284,0.4836065573770492,79.8
2022-09-30,Koto Tangah,AIR DINGIN,0.15671641791044774,0.13114754098360654,70.59
2022-10-31,Koto Tangah,AIR DINGIN,0.4402985074626866,0.36885245901639346,73.03
2022-11-30,Koto Tangah,AIR DINGIN,0.4552238805970149,0.3852459016393443,73.63
2022-12-31,Koto Tangah,AIR DINGIN,0.5074626865671642,0.28688524590163933,56.12
2023-01-31,Koto Tangah,AIR DINGIN,0.5970149253731344,0.4344262295081967,66.36
2023-02-28,Koto Tangah,AIR DINGIN,0.14925373134328354,0.19672131147540983,88.0
2023-03-31,Koto Tangah,AIR DINGIN,0.11194029850746265,0.06557377049180327,62.22
2023-04-30,Koto Tangah,AIR DINGIN,0.7388059701492538,0.5573770491803278,68.22
2023-05-31,Koto Tangah,AIR DINGIN,0.3805970149253731,0.36065573770491804,79.01
2023-06-30,Koto Tangah,AIR DINGIN,0.6567164179104478,0.6885245901639345,88.14
2023-07-31,Koto Tangah,AIR DINGIN,0.417910447761194,0.27049180327868855,61.63
2023-08-31,Koto Tangah,AIR DINGIN,0.746268656716418,0.6967213114754098,80.77
2023-09-30,Koto Tangah,AIR DINGIN,0.4776119402985075,0.3524590163934426,67.02
2023-10-31,Koto Tangah,AIR DINGIN,0.23134328358208953,0.2540983606557377,83.61
2023-11-30,Koto Tangah,AIR DINGIN,0.6417910447761194,0.6311475409836065,83.62
2023-12-31,Koto Tangah,AIR DINGIN,0.7014925373134329,0.639344262295082,79.03
2024-01-31,Koto Tangah,AIR DINGIN,0.8731343283582089,0.8852459016393444,87.07
2024-02-29,Koto Tangah,AIR DINGIN,0.5074626865671642,0.5,82.65
2024-03-31,Koto Tangah,AIR DINGIN,0.664179104477612,0.6967213114754098,88.24
2024-04-30,Koto Tangah,AIR DINGIN,0.35074626865671643,0.29508196721311475,72.73
2024-05-31,Koto Tangah,AIR DINGIN,0.4029850746268657,0.3114754098360656,69.05
2024-06-30,Koto Tangah,AIR DINGIN,0.5522388059701493,0.49180327868852464,76.92
2024-07-31,Koto Tangah,AIR DINGIN,0.6194029850746269,0.5,71.68
2024-08-31,Koto Tangah,AIR DINGIN,0.5223880597014925,0.4344262295081967,73.0
2024-09-30,Koto Tangah,AIR DINGIN,0.4402985074626866,0.29508196721311475,62.92
2024-10-31,Koto Tangah,AIR DINGIN,0.6417910447761194,0.6065573770491803,81.03
2024-11-30,Koto Tangah,AIR DINGIN,0.6044776119402985,0.5245901639344261,75.68
2024-12-31,Koto Tangah,AIR DINGIN,0.27611940298507465,0.20491803278688525,67.16
2021-01-31,Padang Utara,AIR TAWAR,0.22388059701492538,0.22950819672131145,80.0
2021-02-28,Padang Utara,AIR TAWAR,0.26865671641791045,0.19672131147540983,66.67
2021-03-31,Padang Utara,AIR TAWAR,0.0970149253731343,0.12295081967213117,81.4
2021-04-30,Padang Utara,AIR TAWAR,0.4477611940298507,0.3770491803278689,73.33
2021-05-31,Padang Utara,AIR TAWAR,0.4253731343283582,0.3442622950819672,71.26
2021-06-30,Padang Utara,AIR TAWAR,0.1343283582089552,0.05737704918032788,56.25
2021-07-31,Padang Utara,AIR TAWAR,0.12686567164179105,0.14754098360655737,80.85
2021-08-31,Padang Utara,AIR TAWAR,0.3731343283582089,0.3114754098360656,72.5
2021-09-30,Padang Utara,AIR TAWAR,0.3805970149253731,0.3278688524590164,74.07
2021-10-31,Padang Utara,AIR TAWAR,0.3731343283582089,0.36065573770491804,80.0
2021-11-30,Padang Utara,AIR TAWAR,0.0970149253731343,0.11475409836065575,79.07
2021-12-31,Padang Utara,AIR TAWAR,0.35820895522388063,0.22950819672131145,61.54
2022-01-31,Padang Utara,AIR TAWAR,0.20895522388059698,0.180327868852459,72.41
2022-02-28,Padang Utara,AIR TAWAR,0.11940298507462685,0.05737704918032788,58.7
2022-03-31,Padang Utara,AIR TAWAR,0.6044776119402985,0.4426229508196721,66.67
2022-04-30,Padang Utara,AIR TAWAR,0.6343283582089553,0.6147540983606559,82.61
2022-05-31,Padang Utara,AIR TAWAR,0.5,0.3114754098360656,59.79
2022-06-30,Padang Utara,AIR TAWAR,0.29104477611940305,0.20491803278688525,65.22
2022-07-31,Padang Utara,AIR TAWAR,0.16417910447761194,0.17213114754098363,78.85
2022-08-31,Padang Utara,AIR TAWAR,0.6567164179104478,0.598360655737705,78.81
2022-09-30,Padang Utara,AIR TAWAR,0.4328358208955224,0.3934426229508197,77.27
2022-10-31,Padang Utara,AIR TAWAR,0.28358208955223885,0.1885245901639344,63.24
2022-11-30,Padang Utara,AIR TAWAR,0.20149253731343283,0.23770491803278687,85.96
2022-12-31,Padang Utara,AIR TAWAR,0.33582089552238803,0.3524590163934426,84.0
2023-01-31,Padang Utara,AIR TAWAR,0.582089552238806,0.45081967213114754,69.44
2023-02-28,Padang Utara,AIR TAWAR,0.27611940298507465,0.29508196721311475,83.58
2023-03-31,Padang Utara,AIR TAWAR,0.1865671641791045,0.14754098360655737,69.09
2023-04-30,Padang Utara,AIR TAWAR,0.20895522388059698,0.22950819672131145,82.76
2023-05-31,Padang Utara,AIR TAWAR,0.21641791044776118,0.22950819672131145,81.36
2023-06-30,Padang Utara,AIR TAWAR,0.5447761194029851,0.4344262295081967,70.87
2023-07-31,Padang Utara,AIR TAWAR,0.8134328358208955,0.5655737704918034,64.03
2023-08-31,Padang Utara,AIR TAWAR,0.3805970149253731,0.29508196721311475,69.14
2023-09-30,Padang Utara,AIR TAWAR,0.21641791044776118,0.1557377049180328,66.1
2023-10-31,Padang Utara,AIR TAWAR,0.4552238805970149,0.41803278688524587,78.02
2023-11-30,Padang Utara,AIR TAWAR,0.4925373134328358,0.3114754098360656,60.42
2023-12-31,Padang Utara,AIR TAWAR,0.8955223880597014,0.7950819672131149,78.0
2024-01-31,Padang Utara,AIR TAWAR,0.6343283582089553,0.5327868852459017,73.91
2024-02-29,Padang Utara,AIR TAWAR,0.7835820895522387,0.5901639344262295,68.15
2024-03-31,Padang Utara,AIR TAWAR,0.753731343283582,0.6311475409836065,74.05
2024-04-30,Padang Utara,AIR TAWAR,0.6492537313432836,0.6065573770491803,80.34
2024-05-31,Padang Utara,AIR TAWAR,0.5373134328358209,0.598360655737705,91.18
2024-06-30,Padang Utara,AIR TAWAR,0.8059701492537314,0.7131147540983607,77.54
2024-07-31,Padang Utara,AIR TAWAR,0.6865671641791045,0.6639344262295082,82.79
2024-08-31,Padang Utara,AIR TAWAR,0.36567164179104483,0.3442622950819672,78.48
2024-09-30,Padang Utara,AIR TAWAR,0.5223880597014925,0.4836065573770492,79.0
2024-10-31,Padang Utara,AIR TAWAR,0.6268656716417911,0.5163934426229508,72.81
2024-11-30,Padang Utara,AIR TAWAR,0.8582089552238805,0.6475409836065573,68.28
2024-12-31,Padang Utara,AIR TAWAR,1.0,1.0,86.59
2021-01-31,Padang Utara,ALAI,0.29850746268656714,0.1885245901639344,61.43
2021-02-28,Padang Utara,ALAI,0.34328358208955223,0.1885245901639344,56.58
2021-03-31,Padang Utara,ALAI,0.3731343283582089,0.3278688524590164,75.0
2021-04-30,Padang Utara,ALAI,0.25373134328358204,0.13114754098360654,56.25
2021-05-31,Padang Utara,ALAI,0.3805970149253731,0.2540983606557377,62.96
2021-06-30,Padang Utara,ALAI,0.6492537313432836,0.4672131147540984,65.81
2021-07-31,Padang Utara,ALAI,0.5746268656716418,0.4262295081967213,67.29
2021-08-31,Padang Utara,ALAI,0.32835820895522394,0.2459016393442623,67.57
2021-09-30,Padang Utara,ALAI,0.1865671641791045,0.2213114754098361,85.45
2021-10-31,Padang Utara,ALAI,0.3880597014925373,0.2540983606557377,62.2
2021-11-30,Padang Utara,ALAI,0.20149253731343283,0.12295081967213117,61.4
2021-12-31,Padang Utara,ALAI,0.4925373134328358,0.4426229508196721,77.08
2022-01-31,Padang Utara,ALAI,0.5970149253731344,0.5491803278688525,79.09
2022-02-28,Padang Utara,ALAI,0.664179104477612,0.6065573770491803,78.99
2022-03-31,Padang Utara,ALAI,0.31343283582089554,0.29508196721311475,77.78
2022-04-30,Padang Utara,ALAI,0.5298507462686567,0.3770491803278689,65.35
2022-05-31,Padang Utara,ALAI,0.4701492537313433,0.3278688524590164,64.52
2022-06-30,Padang Utara,ALAI,0.4328358208955224,0.2459016393442623,56.82
2022-07-31,Padang Utara,ALAI,0.08208955223880596,0.05737704918032788,65.85
2022-08-31,Padang Utara,ALAI,0.29104477611940305,0.28688524590163933,79.71
2022-09-30,Padang Utara,ALAI,0.20895522388059698,0.1639344262295082,68.97
2022-10-31,Padang Utara,ALAI,0.23134328358208953,0.20491803278688525,73.77
2022-11-30,Padang Utara,ALAI,0.15671641791044774,0.14754098360655737,74.51
2022-12-31,Padang Utara,ALAI,0.29850746268656714,0.3114754098360656,82.86
2023-01-31,Padang Utara,ALAI,0.417910447761194,0.27049180327868855,61.63
2023-02-28,Padang Utara,ALAI,0.7014925373134329,0.5491803278688525,70.16
2023-03-31,Padang Utara,ALAI,0.3880597014925373,0.319672131147541,71.95
2023-04-30,Padang Utara,ALAI,0.7313432835820896,0.4836065573770492,61.72
2023-05-31,Padang Utara,ALAI,0.6567164179104478,0.6065573770491803,79.66
2023-06-30,Padang Utara,ALAI,0.4253731343283582,0.3278688524590164,68.97
2023-07-31,Padang Utara,ALAI,0.7611940298507462,0.7131147540983607,81.06
2023-08-31,Padang Utara,ALAI,0.4776119402985075,0.5245901639344261,89.36
2023-09-30,Padang Utara,ALAI,0.32089552238805974,0.319672131147541,80.82
2023-10-31,Padang Utara,ALAI,0.6268656716417911,0.5573770491803278,77.19
2023-11-30,Padang Utara,ALAI,0.6044776119402985,0.598360655737705,83.78
2023-12-31,Padang Utara,ALAI,0.7238805970149254,0.5163934426229508,65.35
2024-01-31,Padang Utara,ALAI,0.5,0.5245901639344261,86.6
2024-02-29,Padang Utara,ALAI,0.6492537313432836,0.5655737704918034,76.07
2024-03-31,Padang Utara,ALAI,0.30597014925373134,0.3524590163934426,88.73
2024-04-30,Padang Utara,ALAI,0.28358208955223885,0.3278688524590164,88.24
2024-05-31,Padang Utara,ALAI,0.6194029850746269,0.40983606557377056,61.95
2024-06-30,Padang Utara,ALAI,0.6567164179104478,0.6557377049180328,84.75
2024-07-31,Padang Utara,ALAI,0.33582089552238803,0.29508196721311475,74.67
2024-08-31,Padang Utara,ALAI,0.3955223880597015,0.29508196721311475,67.47
2024-09-30,Padang Utara,ALAI,0.30597014925373134,0.36065573770491804,90.14
2024-10-31,Padang Utara,ALAI,0.7388059701492538,0.6475409836065573,76.74
2024-11-30,Padang Utara,ALAI,0.36567164179104483,0.40163934426229514,87.34
2024-12-31,Padang Utara,ALAI,0.6865671641791045,0.6311475409836065,79.51
2021-01-31,Kuranji,AMBACANG,0.23134328358208953,0.13114754098360654,59.02
2021-02-28,Kuranji,AMBACANG,0.746268656716418,0.6885245901639345,80.0
2021-03-31,Kuranji,AMBACANG,0.14925373134328354,0.06557377049180327,56.0
2021-04-30,Kuranji,AMBACANG,0.15671641791044774,0.13114754098360654,70.59
2021-05-31,Kuranji,AMBACANG,0.06716417910447761,0.09836065573770492,82.05
2021-06-30,Kuranji,AMBACANG,0.19402985074626863,0.1885245901639344,76.79
2021-07-31,Kuranji,AMBACANG,0.6119402985074627,0.4426229508196721,66.07
2021-08-31,Kuranji,AMBACANG,0.7238805970149254,0.4754098360655738,61.42
2021-09-30,Kuranji,AMBACANG,0.1343283582089552,0.0819672131147541,62.5
2021-10-31,Kuranji,AMBACANG,0.02238805970149252,0.04098360655737704,75.76
2021-11-30,Kuranji,AMBACANG,0.23880597014925373,0.17213114754098363,66.13
2021-12-31,Kuranji,AMBACANG,0.5746268656716418,0.49180327868852464,74.77
2022-01-31,Kuranji,AMBACANG,0.5223880597014925,0.3442622950819672,62.0
2022-02-28,Kuranji,AMBACANG,0.3731343283582089,0.36065573770491804,80.0
2022-03-31,Kuranji,AMBACANG,0.23880597014925373,0.14754098360655737,61.29
2022-04-30,Kuranji,AMBACANG,0.33582089552238803,0.21311475409836067,61.33
2022-05-31,Kuranji,AMBACANG,0.4253731343283582,0.2540983606557377,58.62
2022-06-30,Kuranji,AMBACANG,0.11194029850746265,0.14754098360655737,84.44
2022-07-31,Kuranji,AMBACANG,0.31343283582089554,0.29508196721311475,77.78
2022-08-31,Kuranji,AMBACANG,0.7014925373134329,0.540983606557377,69.35
2022-09-30,Kuranji,AMBACANG,0.23880597014925373,0.14754098360655737,61.29
2022-10-31,Kuranji,AMBACANG,0.6044776119402985,0.5327868852459017,76.58
2022-11-30,Kuranji,AMBACANG,0.7164179104477612,0.4672131147540984,61.11
2022-12-31,Kuranji,AMBACANG,0.22388059701492538,0.14754098360655737,63.33
2023-01-31,Kuranji,AMBACANG,0.31343283582089554,0.36065573770491804,88.89
2023-02-28,Kuranji,AMBACANG,0.35074626865671643,0.30327868852459017,74.03
2023-03-31,Kuranji,AMBACANG,0.8582089552238805,0.7459016393442623,76.55
2023-04-30,Kuranji,AMBACANG,0.5597014925373134,0.4344262295081967,69.52
2023-05-31,Kuranji,AMBACANG,0.8582089552238805,0.7459016393442623,76.55
2023-06-30,Kuranji,AMBACANG,0.9253731343283582,0.6229508196721312,62.34
2023-07-31,Kuranji,AMBACANG,0.417910447761194,0.3934426229508197,79.07
2023-08-31,Kuranji,AMBACANG,0.6343283582089553,0.5819672131147542,79.13
2023-09-30,Kuranji,AMBACANG,0.5671641791044776,0.4754098360655738,73.58
2023-10-31,Kuranji,AMBACANG,0.26119402985074625,0.27049180327868855,81.54
2023-11-30,Kuranji,AMBACANG,0.7313432835820896,0.6639344262295082,78.91
2023-12-31,Kuranji,AMBACANG,0.21641791044776118,0.22950819672131145,81.36
2024-01-31,Kuranji,AMBACANG,0.27611940298507465,0.23770491803278687,73.13
2024-02-29,Kuranji,AMBACANG,0.8507462686567164,0.819672131147541,83.33
2024-03-31,Kuranji,AMBACANG,0.7313432835820896,0.6639344262295082,78.91
2024-04-30,Kuranji,AMBACANG,0.4701492537313433,0.40983606557377056,75.27
2024-05-31,Kuranji,AMBACANG,0.6791044776119403,0.6147540983606559,78.51
2024-06-30,Kuranji,AMBACANG,0.5447761194029851,0.49180327868852464,77.67
2024-07-31,Kuranji,AMBACANG,0.4402985074626866,0.40983606557377056,78.65
2024-08-31,Kuranji,AMBACANG,0.33582089552238803,0.28688524590163933,73.33
2024-09-30,Kuranji,AMBACANG,0.5597014925373134,0.45081967213114754,71.43
2024-10-31,Kuranji,AMBACANG,0.5223880597014925,0.5,81.0
2024-11-30,Kuranji,AMBACANG,0.23880597014925373,0.23770491803278687,79.03
2024-12-31,Kuranji,AMBACANG,0.4402985074626866,0.36065573770491804,71.91
2021-01-31,Koto Tangah,ANAK AIR,0.23134328358208953,0.12295081967213117,57.38
2021-02-28,Koto Tangah,ANAK AIR,0.27611940298507465,0.2540983606557377,76.12
2021-03-31,Koto Tangah,ANAK AIR,0.20895522388059698,0.1557377049180328,67.24
2021-04-30,Koto Tangah,ANAK AIR,0.5746268656716418,0.319672131147541,55.14
2021-05-31,Koto Tangah,ANAK AIR,0.3805970149253731,0.3114754098360656,71.6
2021-06-30,Koto Tangah,ANAK AIR,0.1865671641791045,0.19672131147540983,80.0
2021-07-31,Koto Tangah,ANAK AIR,0.06716417910447761,0.10655737704918034,84.62
2021-08-31,Koto Tangah,ANAK AIR,0.6343283582089553,0.40983606557377056,60.87
2021-09-30,Koto Tangah,ANAK AIR,0.26119402985074625,0.21311475409836067,70.77
2021-10-31,Koto Tangah,ANAK AIR,0.0970149253731343,0.05737704918032788,62.79
2021-11-30,Koto Tangah,ANAK AIR,0.34328358208955223,0.3524590163934426,82.89
2021-12-31,Koto Tangah,ANAK AIR,0.6417910447761194,0.5245901639344261,72.41
2022-01-31,Koto Tangah,ANAK AIR,0.11194029850746265,0.04918032786885246,57.78
2022-02-28,Koto Tangah,ANAK AIR,0.4328358208955224,0.3360655737704918,69.32
2022-03-31,Koto Tangah,ANAK AIR,0.5522388059701493,0.3524590163934426,60.58
2022-04-30,Koto Tangah,ANAK AIR,0.23134328358208953,0.180327868852459,68.85
2022-05-31,Koto Tangah,ANAK AIR,0.1343283582089552,0.14754098360655737,79.17
2022-06-30,Koto Tangah,ANAK AIR,0.4477611940298507,0.3278688524590164,66.67
2022-07-31,Koto Tangah,ANAK AIR,0.052238805970149266,0.008196721311475391,56.76
2022-08-31,Koto Tangah,ANAK AIR,0.6343283582089553,0.49180327868852464,69.57
2022-09-30,Koto Tangah,ANAK AIR,0.3805970149253731,0.40163934426229514,85.19
2022-10-31,Koto Tangah,ANAK AIR,0.26865671641791045,0.27049180327868855,80.3
2022-11-30,Koto Tangah,ANAK AIR,0.5074626865671642,0.4344262295081967,74.49
2022-12-31,Koto Tangah,ANAK AIR,0.25373134328358204,0.180327868852459,65.62
2023-01-31,Koto Tangah,ANAK AIR,0.7313432835820896,0.6967213114754098,82.03
2023-02-28,Koto Tangah,ANAK AIR,0.29104477611940305,0.319672131147541,85.51
2023-03-31,Koto Tangah,ANAK AIR,0.5373134328358209,0.45081967213114754,73.53
2023-04-30,Koto Tangah,ANAK AIR,0.7388059701492538,0.4836065573770492,61.24
2023-05-31,Koto Tangah,ANAK AIR,0.6417910447761194,0.5819672131147542,78.45
2023-06-30,Koto Tangah,ANAK AIR,0.791044776119403,0.8114754098360657,87.5
2023-07-31,Koto Tangah,ANAK AIR,0.25373134328358204,0.22950819672131145,75.0
2023-08-31,Koto Tangah,ANAK AIR,0.28358208955223885,0.22950819672131145,70.59
2023-09-30,Koto Tangah,ANAK AIR,0.5671641791044776,0.36065573770491804,60.38
2023-10-31,Koto Tangah,ANAK AIR,0.28358208955223885,0.319672131147541,86.76
2023-11-30,Koto Tangah,ANAK AIR,0.753731343283582,0.7377049180327868,83.97
2023-12-31,Koto Tangah,ANAK AIR,0.753731343283582,0.5081967213114755,62.6
2024-01-31,Koto Tangah,ANAK AIR,0.6940298507462687,0.5163934426229508,67.48
2024-02-29,Koto Tangah,ANAK AIR,0.7313432835820896,0.6065573770491803,73.44
2024-03-31,Koto Tangah,ANAK AIR,0.791044776119403,0.5737704918032787,66.18
2024-04-30,Koto Tangah,ANAK AIR,0.5970149253731344,0.45901639344262296,69.09
2024-05-31,Koto Tangah,ANAK AIR,0.7835820895522387,0.6229508196721312,71.11
2024-06-30,Koto Tangah,ANAK AIR,0.6268656716417911,0.5819672131147542,79.82
2024-07-31,Koto Tangah,ANAK AIR,0.4925373134328358,0.49180327868852464,83.33
2024-08-31,Koto Tangah,ANAK AIR,0.1343283582089552,0.1557377049180328,81.25
2024-09-30,Koto Tangah,ANAK AIR,0.7611940298507462,0.5245901639344261,63.64
2024-10-31,Koto Tangah,ANAK AIR,0.1791044776119403,0.14754098360655737,70.37
2024-11-30,Koto Tangah,ANAK AIR,0.32089552238805974,0.2213114754098361,64.38
2024-12-31,Koto Tangah,ANAK AIR,0.7164179104477612,0.49180327868852464,63.49
2021-01-31,Padang Timur,ANDALAS,0.32089552238805974,0.29508196721311475,76.71
2021-02-28,Padang Timur,ANDALAS,0.33582089552238803,0.23770491803278687,65.33
2021-03-31,Padang Timur,ANDALAS,0.19402985074626863,0.20491803278688525,80.36
2021-04-30,Padang Timur,ANDALAS,0.11940298507462685,0.10655737704918034,71.74
2021-05-31,Padang Timur,ANDALAS,0.5671641791044776,0.4836065573770492,74.53
2021-06-30,Padang Timur,ANDALAS,0.25373134328358204,0.2213114754098361,73.44
2021-07-31,Padang Timur,ANDALAS,0.4253731343283582,0.36065573770491804,73.56
2021-08-31,Padang Timur,ANDALAS,0.14925373134328354,0.13114754098360654,72.0
2021-09-30,Padang Timur,ANDALAS,0.4701492537313433,0.30327868852459017,61.29
2021-10-31,Padang Timur,ANDALAS,0.5597014925373134,0.3852459016393443,63.81
2021-11-30,Padang Timur,ANDALAS,0.3731343283582089,0.20491803278688525,56.25
2021-12-31,Padang Timur,ANDALAS,0.417910447761194,0.41803278688524587,82.56
2022-01-31,Padang Timur,ANDALAS,0.4776119402985075,0.4262295081967213,76.6
2022-02-28,Padang Timur,ANDALAS,0.28358208955223885,0.1639344262295082,58.82
2022-03-31,Padang Timur,ANDALAS,0.4328358208955224,0.30327868852459017,64.77
2022-04-30,Padang Timur,ANDALAS,0.5970149253731344,0.49180327868852464,72.73
2022-05-31,Padang Timur,ANDALAS,0.5298507462686567,0.319672131147541,58.42
2022-06-30,Padang Timur,ANDALAS,0.3731343283582089,0.3114754098360656,72.5
2022-07-31,Padang Timur,ANDALAS,0.3880597014925373,0.3524590163934426,76.83
2022-08-31,Padang Timur,ANDALAS,0.4552238805970149,0.45901639344262296,83.52
2022-09-30,Padang Timur,ANDALAS,0.5074626865671642,0.5,82.65
2022-10-31,Padang Timur,ANDALAS,0.7238805970149254,0.5901639344262295,72.44
2022-11-30,Padang Timur,ANDALAS,0.746268656716418,0.598360655737705,71.54
2022-12-31,Padang Timur,ANDALAS,0.4029850746268657,0.27049180327868855,63.1
2023-01-31,Padang Timur,ANDALAS,0.4477611940298507,0.3524590163934426,70.0
2023-02-28,Padang Timur,ANDALAS,0.4850746268656716,0.319672131147541,62.11
2023-03-31,Padang Timur,ANDALAS,0.4104477611940298,0.3934426229508197,80.0
2023-04-30,Padang Timur,ANDALAS,0.8059701492537314,0.7377049180327868,79.71
2023-05-31,Padang Timur,ANDALAS,0.8208955223880596,0.6229508196721312,68.57
2023-06-30,Padang Timur,ANDALAS,0.19402985074626863,0.1557377049180328,69.64
2023-07-31,Padang Timur,ANDALAS,0.36567164179104483,0.30327868852459017,72.15
2023-08-31,Padang Timur,ANDALAS,0.8208955223880596,0.8524590163934427,88.57
2023-09-30,Padang Timur,ANDALAS,0.32089552238805974,0.2213114754098361,64.38
2023-10-31,Padang Timur,ANDALAS,0.4328358208955224,0.3934426229508197,77.27
2023-11-30,Padang Timur,ANDALAS,0.8731343283582089,0.6557377049180328,68.03
2023-12-31,Padang Timur,ANDALAS,0.5,0.45081967213114754,77.32
2024-01-31,Padang Timur,ANDALAS,0.4776119402985075,0.3278688524590164,63.83
2024-02-29,Padang Timur,ANDALAS,0.21641791044776118,0.180327868852459,71.19
2024-03-31,Padang Timur,ANDALAS,0.791044776119403,0.7950819672131149,86.03
2024-04-30,Padang Timur,ANDALAS,0.33582089552238803,0.3934426229508197,90.67
2024-05-31,Padang Timur,ANDALAS,0.5895522388059702,0.49180327868852464,73.39
2024-06-30,Padang Timur,ANDALAS,0.23134328358208953,0.1639344262295082,65.57
2024-07-31,Padang Timur,ANDALAS,0.31343283582089554,0.27868852459016397,75.0
2024-08-31,Padang Timur,ANDALAS,0.6567164179104478,0.49180327868852464,67.8
2024-09-30,Padang Timur,ANDALAS,0.5298507462686567,0.5655737704918034,88.12
2024-10-31,Padang Timur,ANDALAS,0.8059701492537314,0.7377049180327868,79.71
2024-11-30,Padang Timur,ANDALAS,0.6791044776119403,0.6065573770491803,77.69
