Tanggal,Kecamatan,Puskesmas,Jumlah_Bayi_6_Bulan,Jumlah_ASI_Eksklusif,Persentase_Cakupan
2021-01-31,Koto Tangah,AIR DINGIN,0.6492537313432836,0.545324416245620,83.99
2021-02-28,Koto Tangah,AIR DINGIN,0.3955223880597015,0.333386902687524,84.29
2021-03-31,Koto Tangah,AIR DINGIN,0.4253731343283582,0.359732749861499,84.57
2021-04-30,Koto Tangah,AIR DINGIN,0.27611940298507465,0.222061460499491,80.42
2021-05-31,Koto Tangah,AIR DINGIN,0.16417910447761194,0.134463294824830,81.90
2021-06-30,Koto Tangah,AIR DINGIN,0.037313432835820864,0.030704972762409,82.29
2021-07-31,Koto Tangah,AIR DINGIN,0.32089552238805974,0.257554907247958,80.26
2021-08-31,Koto Tangah,AIR DINGIN,0.5074626865671642,0.411409026415152,81.07
2021-09-30,Koto Tangah,AIR DINGIN,0.6716417910447762,0.571644792207240,85.11
2021-10-31,Koto Tangah,AIR DINGIN,0.1865671641791045,0.159864562242247,85.69
2021-11-30,Koto Tangah,AIR DINGIN,0.1791044776119403,0.151216482932899,84.43
2021-12-31,Koto Tangah,AIR DINGIN,0.664179104477612,0.555116919602128,83.58
2022-01-31,Koto Tangah,AIR DINGIN,0.664179104477612,0.532981398155272,80.25
2022-02-28,Koto Tangah,AIR DINGIN,0.3805970149253731,0.322296145769899,84.68
2022-03-31,Koto Tangah,AIR DINGIN,0.3880597014925373,0.310510381398000,80.02
2022-04-30,Koto Tangah,AIR DINGIN,0.26119402985074625,0.214087196089775,81.96
2022-05-31,Koto Tangah,AIR DINGIN,0.19402985074626863,0.162848756501765,83.93
2022-06-30,Koto Tangah,AIR DINGIN,0.664179104477612,0.554449988340094,83.48
2022-07-31,Koto Tangah,AIR DINGIN,0.1417910447761194,0.120923800199927,85.28
2022-08-31,Koto Tangah,AIR DINGIN,0.5149253731343284,0.417316795452377,81.04
2022-09-30,Koto Tangah,AIR DINGIN,0.15671641791044774,0.134570283403297,85.87
2022-10-31,Koto Tangah,AIR DINGIN,0.4402985074626866,0.366271652784874,83.19
2022-11-30,Koto Tangah,AIR DINGIN,0.4552238805970149,0.379476617818495,83.36
2022-12-31,Koto Tangah,AIR DINGIN,0.5074626865671642,0.410783088069100,80.95
2023-01-31,Koto Tangah,AIR DINGIN,0.5970149253731344,0.508467810115760,85.17
2023-02-28,Koto Tangah,AIR DINGIN,0.14925373134328354,0.122345576672718,81.97
2023-03-31,Koto Tangah,AIR DINGIN,0.11194029850746265,0.095630302527869,85.43
2023-04-30,Koto Tangah,AIR DINGIN,0.7388059701492538,0.596388549042896,80.72
2023-05-31,Koto Tangah,AIR DINGIN,0.3805970149253731,0.325371734055727,85.49
2023-06-30,Koto Tangah,AIR DINGIN,0.6567164179104478,0.557937947755263,84.96
2023-07-31,Koto Tangah,AIR DINGIN,0.417910447761194,0.338338020156352,80.96
2023-08-31,Koto Tangah,AIR DINGIN,0.746268656716418,0.597778679701448,80.10
2023-09-30,Koto Tangah,AIR DINGIN,0.4776119402985075,0.397808178443287,83.29
2023-10-31,Koto Tangah,AIR DINGIN,0.23134328358208953,0.191900114217961,82.95
2023-11-30,Koto Tangah,AIR DINGIN,0.6417910447761194,0.542522147578899,84.53
2023-12-31,Koto Tangah,AIR DINGIN,0.7014925373134329,0.601498680348353,85.75
2024-01-31,Koto Tangah,AIR DINGIN,0.8731343283582089,0.735209605307050,84.20
2024-02-29,Koto Tangah,AIR DINGIN,0.5074626865671642,0.409243719166659,80.65
2024-03-31,Koto Tangah,AIR DINGIN,0.664179104477612,0.564199331663125,84.95
2024-04-30,Koto Tangah,AIR DINGIN,0.35074626865671643,0.286975301312950,81.82
2024-05-31,Koto Tangah,AIR DINGIN,0.4029850746268657,0.329315398070427,81.72
2024-06-30,Koto Tangah,AIR DINGIN,0.5522388059701493,0.457448947246735,82.84
2024-07-31,Koto Tangah,AIR DINGIN,0.6194029850746269,0.495614871741596,80.01
2024-08-31,Koto Tangah,AIR DINGIN,0.5223880597014925,0.427652373167474,81.86
2024-09-30,Koto Tangah,AIR DINGIN,0.4402985074626866,0.354053174745546,80.41
2024-10-31,Koto Tangah,AIR DINGIN,0.6417910447761194,0.528460978935246,82.34
2024-11-30,Koto Tangah,AIR DINGIN,0.6044776119402985,0.503121773979859,83.23
2024-12-31,Koto Tangah,AIR DINGIN,0.27611940298507465,0.224635290260310,81.35
2021-01-31,Padang Utara,AIR TAWAR,0.22388059701492538,0.186794166906439,83.43
2021-02-28,Padang Utara,AIR TAWAR,0.26865671641791045,0.225791259724781,84.04
2021-03-31,Padang Utara,AIR TAWAR,0.0970149253731343,0.081511604257362,84.02
