Tanggal,Kecamatan,Puskesmas,Jumlah_Bayi_6_Bulan,Jumlah_ASI_Eksklusif,Persentase_Cakupan
2021-01-31,Bungus Teluk Kabung,BUNGUS,95,80,84.49
2021-01-31,Lubuk Kilangan,LUBUK KILANGAN,58,43,73.34
2021-01-31,Lubuk Begalung,LUBUK BEGALUNG,125,108,86.25
2021-01-31,Lubuk Begalung,PEGAMBIRAN,47,38,80.78
2021-01-31,Padang Selatan,SEBERANG PADANG,49,38,78.04
2021-01-31,Padang Selatan,PEMANCUNGAN,102,75,73.87
2021-01-31,Padang Selatan,RAWANG,73,55,75.99
2021-01-31,Padang Timur,ANDALAS,73,62,84.42
2021-01-31,Padang Timur,PARAK KARAKAH,82,67,81.75
2021-01-31,Padang Barat,PADANG PASIR,101,85,84.15
2021-01-31,Padang Utara,ULAK KARANG,110,88,79.65
2021-01-31,Padang Utara,AIR TAWAR,60,52,86.25
2021-01-31,Padang Utara,ALAI,70,53,75.88
2021-01-31,Nanggalo,NANGGALO,75,61,81.04
2021-01-31,Nanggalo,LAPAI,47,41,86.73
2021-01-31,Kuranji,BELIMBING,98,83,84.88
2021-01-31,Kuranji,KURANJI,115,101,88.2
2021-01-31,Kuranji,AMBACANG,61,45,74.53
2021-01-31,Pauh,PAUH,65,53,81.1
2021-01-31,Koto Tangah,AIR DINGIN,117,104,88.84
2021-01-31,Koto Tangah,LB.BUAYA,69,57,82.85
2021-01-31,Koto Tangah,IKUR KOTO,130,99,76.37
2021-01-31,Koto Tangah,ANAK AIR,61,45,73.61
2021-01-31,Koto Tangah,TUNGGUL HITAM,52,42,80.23
2021-02-28,Bungus Teluk Kabung,BUNGUS,110,83,75.08
2021-02-28,Lubuk Kilangan,LUBUK KILANGAN,46,39,85.28
2021-02-28,Lubuk Begalung,LUBUK BEGALUNG,67,50,74.91
2021-02-28,Lubuk Begalung,PEGAMBIRAN,52,41,79.16
2021-02-28,Padang Selatan,SEBERANG PADANG,38,29,75.37
2021-02-28,Padang Selatan,PEMANCUNGAN,101,86,84.71
2021-02-28,Padang Selatan,RAWANG,60,49,81.6
2021-02-28,Padang Timur,ANDALAS,75,59,78.05
2021-02-28,Padang Timur,PARAK KARAKAH,89,65,73.57
2021-02-28,Padang Barat,PADANG PASIR,58,50,86.83
2021-02-28,Padang Utara,ULAK KARANG,88,66,75.2
2021-02-28,Padang Utara,AIR TAWAR,66,52,78.8
2021-02-28,Padang Utara,ALAI,76,56,73.16
2021-02-28,Nanggalo,NANGGALO,128,101,78.66
2021-02-28,Nanggalo,LAPAI,51,37,73.32
2021-02-28,Kuranji,BELIMBING,44,33,75.84
2021-02-28,Kuranji,KURANJI,52,41,79.16
2021-02-28,Kuranji,AMBACANG,130,112,86.25
2021-02-28,Pauh,PAUH,41,33,81.07
2021-02-28,Koto Tangah,AIR DINGIN,83,65,77.9
2021-02-28,Koto Tangah,LB.BUAYA,95,83,87.43
