Tanggal,Kecamatan,Puskesmas,Jumlah_Bayi_6_Bulan,Jumlah_ASI_Eksklusif,Persentase_Cakupan
2021-01-31,Bungus Teluk Kabung,BUNGUS,95,73,76.84
2021-01-31,Lubuk Kilangan,LUBUK KILANGAN,58,33,56.9
2021-01-31,Lubuk Begalung,LUBUK BEGALUNG,125,100,80.0
2021-01-31,Lubuk Begalung,PEGAMBIRAN,47,33,70.21
2021-01-31,Padang Selatan,SEBERANG PADANG,49,32,65.31
2021-01-31,Padang Selatan,PEMANCUNGAN,102,59,57.84
2021-01-31,Padang Selatan,RAWANG,73,45,61.64
2021-01-31,Padang Timur,ANDALAS,73,56,76.71
2021-01-31,Padang Timur,PARAK KARAKAH,82,59,71.95
2021-01-31,Padang Barat,PADANG PASIR,101,77,76.24
2021-01-31,Padang Utara,ULAK KARANG,110,75,68.18
2021-01-31,Padang Utara,AIR TAWAR,60,48,80.0
2021-01-31,Padang Utara,ALAI,70,43,61.43
2021-01-31,Nanggalo,NANGGALO,75,53,70.67
2021-01-31,Nanggalo,LAPAI,47,38,80.85
2021-01-31,Kuranji,BELIMBING,98,76,77.55
2021-01-31,Kuranji,KURANJI,115,96,83.48
2021-01-31,Kuranji,AMBACANG,61,36,59.02
2021-01-31,Pauh,PAUH,65,46,70.77
2021-01-31,Koto Tangah,AIR DINGIN,117,99,84.62
2021-01-31,Koto Tangah,LB.BUAYA,69,51,73.91
2021-01-31,Koto Tangah,IKUR KOTO,130,81,62.31
2021-01-31,Koto Tangah,ANAK AIR,61,35,57.38
2021-01-31,Koto Tangah,TUNGGUL HITAM,52,36,69.23
2021-02-28,Bungus Teluk Kabung,BUNGUS,110,66,60.0
2021-02-28,Lubuk Kilangan,LUBUK KILANGAN,46,36,78.26
2021-02-28,Lubuk Begalung,LUBUK BEGALUNG,67,40,59.7
2021-02-28,Lubuk Begalung,PEGAMBIRAN,52,35,67.31
2021-02-28,Padang Selatan,SEBERANG PADANG,38,23,60.53
2021-02-28,Padang Selatan,PEMANCUNGAN,101,78,77.23
2021-02-28,Padang Selatan,RAWANG,60,43,71.67
2021-02-28,Padang Timur,ANDALAS,75,49,65.33
2021-02-28,Padang Timur,PARAK KARAKAH,89,51,57.3
2021-02-28,Padang Barat,PADANG PASIR,58,47,81.03
2021-02-28,Padang Utara,ULAK KARANG,88,53,60.23
2021-02-28,Padang Utara,AIR TAWAR,66,44,66.67
2021-02-28,Padang Utara,ALAI,76,43,56.58
2021-02-28,Nanggalo,NANGGALO,128,85,66.41
2021-02-28,Nanggalo,LAPAI,51,29,56.86
2021-02-28,Kuranji,BELIMBING,44,27,61.36
2021-02-28,Kuranji,KURANJI,52,35,67.31
2021-02-28,Kuranji,AMBACANG,130,104,80.0
2021-02-28,Pauh,PAUH,41,29,70.73
2021-02-28,Koto Tangah,AIR DINGIN,83,54,65.06
2021-02-28,Koto Tangah,LB.BUAYA,95,78,82.11
2021-02-28,Koto Tangah,IKUR KOTO,61,42,68.85
2021-02-28,Koto Tangah,ANAK AIR,67,51,76.12
2021-02-28,Koto Tangah,TUNGGUL HITAM,43,36,83.72
2021-03-31,Bungus Teluk Kabung,BUNGUS,122,84,68.85
2021-03-31,Lubuk Kilangan,LUBUK KILANGAN,58,36,62.07
2021-03-31,Lubuk Begalung,LUBUK BEGALUNG,56,32,57.14
2021-03-31,Lubuk Begalung,PEGAMBIRAN,83,51,61.45
2021-03-31,Padang Selatan,SEBERANG PADANG,64,45,70.31
2021-03-31,Padang Selatan,PEMANCUNGAN,57,42,73.68
2021-03-31,Padang Selatan,RAWANG,105,65,61.9
2021-03-31,Padang Timur,ANDALAS,56,45,80.36
2021-03-31,Padang Timur,PARAK KARAKAH,114,74,64.91
2021-03-31,Padang Barat,PADANG PASIR,130,86,66.15
2021-03-31,Padang Utara,ULAK KARANG,99,75,75.76
2021-03-31,Padang Utara,AIR TAWAR,43,35,81.4
2021-03-31,Padang Utara,ALAI,80,60,75.0
2021-03-31,Nanggalo,NANGGALO,60,40,66.67
2021-03-31,Nanggalo,LAPAI,49,28,57.14
2021-03-31,Kuranji,BELIMBING,108,62,57.41
2021-03-31,Kuranji,KURANJI,73,46,63.01
2021-03-31,Kuranji,AMBACANG,50,28,56.0
2021-03-31,Pauh,PAUH,50,30,60.0
2021-03-31,Koto Tangah,AIR DINGIN,87,57,65.52
2021-03-31,Koto Tangah,LB.BUAYA,106,67,63.21
2021-03-31,Koto Tangah,IKUR KOTO,41,31,75.61
2021-03-31,Koto Tangah,ANAK AIR,58,39,67.24
2021-03-31,Koto Tangah,TUNGGUL HITAM,49,39,79.59
2021-04-30,Bungus Teluk Kabung,BUNGUS,55,31,56.36
2021-04-30,Lubuk Kilangan,LUBUK KILANGAN,95,70,73.68
2021-04-30,Lubuk Begalung,LUBUK BEGALUNG,108,84,77.78
2021-04-30,Lubuk Begalung,PEGAMBIRAN,84,69,82.14
2021-04-30,Padang Selatan,SEBERANG PADANG,89,58,65.17
2021-04-30,Padang Selatan,PEMANCUNGAN,109,87,79.82
2021-04-30,Padang Selatan,RAWANG,88,63,71.59
2021-04-30,Padang Timur,ANDALAS,46,33,71.74
2021-04-30,Padang Timur,PARAK KARAKAH,56,47,83.93
2021-04-30,Padang Barat,PADANG PASIR,113,78,69.03
2021-04-30,Padang Utara,ULAK KARANG,30,20,66.67
2021-04-30,Padang Utara,AIR TAWAR,90,66,73.33
